ts_ms,open,high,low,close,volume
1762551060000,25209.50,25209.50,25209.50,25209.50,0
1762551120000,25209.75,25213.75,25208.75,25211.75,0
1762551180000,25211.00,25213.00,25206.25,25212.25,0
1762551240000,25212.00,25215.00,25211.75,25215.00,0
1762551300000,25215.00,25216.50,25213.50,25216.00,0
1762551360000,25216.50,25219.00,25215.75,25216.00,0
1762551420000,25216.00,25216.50,25214.25,25215.25,0
1762551480000,25215.25,25215.75,25213.00,25214.00,0
1762551540000,25214.00,25217.00,25212.75,25214.75,0
1762551600000,25214.50,25216.00,25211.50,25215.50,0
1762551660000,25215.25,25216.00,25212.00,25212.50,0
1762551720000,25212.00,25212.75,25210.00,25210.75,0
1762551780000,25210.50,25211.75,25208.50,25210.75,0
1762551840000,25210.00,25211.50,25209.50,25210.00,0
1762551900000,25210.25,25214.50,25209.00,25212.00,0
1762551960000,25212.00,25216.25,25211.75,25215.00,0
1762552020000,25214.75,25216.25,25214.00,25215.00,0
1762552080000,25214.75,25215.00,25211.50,25212.75,0
1762552140000,25212.25,25219.75,25212.25,25218.25,0
1762552200000,25217.25,25221.00,25217.25,25220.00,0
1762552260000,25220.50,25221.50,25220.00,25220.00,0
1762552320000,25219.50,25219.50,25215.75,25216.50,0
1762552380000,25216.25,25218.50,25216.25,25216.50,0
1762552440000,25216.25,25221.50,25215.75,25221.25,0
1762552500000,25221.50,25221.50,25216.00,25216.75,0
1762552560000,25217.25,25220.00,25217.25,25219.00,0
1762552620000,25218.75,25219.50,25217.75,25218.25,0
1762552680000,25218.50,25220.25,25217.50,25220.00,0
1762552740000,25220.25,25228.25,25220.25,25227.75,0
1762552800000,25227.25,25227.25,25226.75,25226.75,0
